# ============================================================================
# [STALE / CONTAMINATED — 2026-07-05,P2c 证伪后置顶标注;原数据行下方保留不删]
# 本表 step-3 parity 数(VLEN256 我方 m1 = micro_vs_factory 1.004×)+ 归因分解
# (winA +11.0% / no-FMA -8.4% / vsetvli-sched -2.0%) = CONTAMINATED,【幅度不可
# 引用】。理由:step-3 双板 march 均无 zfh → 双方 fp16 均走 __extendhfsf2 libcall
# → 同一大软浮点常数把比值压向 1(factory 光去 libcall 1793→881 = 半个运行时)。
# 方向性 parity 仅保留为【定性】结论。须按新工具链政策(clang-20 + 板全能力 march;
# 实验总纲v1 §1 第9/10条)重测(Phase 1)。
# 状态字段已从 measured → stale(实验宪法第 1 条:指纹变则同指纹格自动 stale)。
# ============================================================================
# ============================================================================
# [G8 阶段一.二 · 新 schema 表头段 — 2026-07-14 · clang-18 对称域全量重测口径]
# 体例权威 = docs/canon/Weft-RV_实验总纲v1.md §2.1(四分账 + 0.8 硬门 + 落表纪律)。
# 阶段三 clang-18 域全量重测的【新行】按下方 36 列 schema 回填(旧 28 列 + 8 新列超集:
#   ledger_account / cold_ratio / opponent_grade / opponent_symbol /
#   opponent_probe_casefile / compiler_axis / keying_status / hardgate_0p8)。
# 新行紧接本 header 下方追加、"旧 schema STALE 分隔线"以上 = G8 新行区;
# 分隔线以下 = 旧 28 列 STALE/CONTAMINATED/INVALID 数据行(保留不删·不迁移不重解析)。
# 落表纪律:结论数只回填本表 + T8/T9,禁另建账本;compiler_axis 背靠 T-VALIDITY* 派生链。
# ============================================================================
measurement_row_key(op|format|path|arity|shape_class),variant_id,selection_mode(mechanism|forced),six_state,provenance_ptr,correctness_gate(byte-exact|ULP),capability_shape(lmul/vlen),objdump_sealed,winA_narrow,winA_wide,winA_ratio,candidate_set_hash_equal,opponent_ref(probe_artifact),opponent_class(factory|algmatched|naive|scalar),micro_vs_factory,micro_vs_algmatched,micro_vs_scalar_naive,roofline_class,transduction_time_pct,transduction_amdahl_pred,transduction_measured,transduction_efficiency,capkey_ablation(blocked_by_SEL),status,board_fp,session,artifact,snapshot,ledger_account(matmul-kernel-sym|forward-op|DEQ-AXIS|batch-regime),cold_ratio(vs-opp;TileLang-cold-start),opponent_grade(hand-tuned|native-vec|block-dot|light-vec|scalar|streaming-native),opponent_symbol(as-shipped-sym-name),opponent_probe_casefile(objdump-casefile-ptr),compiler_axis(clang18-sym=MAIN-verdict|gcc=deploy-footnote),keying_status(lever-hit|predicate-NA+据),hardgate_0p8(in-denom|test-only-not-in-denom|sealed)
# >>> G8 阶段三 §五 全表对手重解析 (opponent re-parse · clang-18 对称域 · symbol-level machine-judgment · 2026-07-14) — 对手身份列回填·perf 列 pending-§六 cold A/B <<<
vec_dot|q4_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot70/rvv12/mac3;block-dot-weak,hot=0.982,m8cold=0.989,coldm1=0.986,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,naive,ratio_vs_opp=0.986,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.986,light-vec,ggml_vec_dot_q4_0_q8_0,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,parity-by-adoption(tautological),in-denom;PASS@0.8
vec_dot|q4_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot73/rvv10/mac3;block-dot-weak,hot=1.006,m8cold=1.008,coldm1=1.008,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,naive,ratio_vs_opp=1.008,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,1.008,light-vec,ggml_vec_dot_q4_1_q8_1,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,parity-by-adoption(tautological),in-denom;PASS@0.8
vec_dot|q5_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot74/rvv12/mac2;board-diff-rvv-q5_0-native22rvv,hot=0.386,m8cold=0.385,coldm1=0.384,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,naive,ratio_vs_opp=0.384,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.384,light-vec,ggml_vec_dot_q5_0_q8_0,experiments/active/g8-stage3-attack/k1-gevm-sweep/evidence.md,clang18-sym,KERNEL-SYM-PASS-repack-GEVM-leaf-byte-exact-1.190x-WIN-vs-real-native-vec-opp(VLEN256-wide-amortize·rvv-VLEN128-only-near-parity)*DEPLOYED-block-dot-0.381-FAIL(selector-RVVContractionPathSelection-84-declines-repack-via-BLANKET-q4_0-key-mis-fire)*条件翻正-pending-per-format-selector-key,in-denom;PASS-CONDITIONAL@0.8-kernel-sym(repack-leaf-1.190x-byte-exact-emitter-capable*deployment-pending-per-format-selector-fix*deployed-default-block-dot-0.381-FAIL·成色-kernel-account-not-yet-deployed)
vec_dot|q5_1|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot79/rvv11/mac2;board-diff,hot=0.403,m8cold=0.403,coldm1=0.398,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,naive,ratio_vs_opp=0.398,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.398,light-vec,ggml_vec_dot_q5_1_q8_1,experiments/active/g8-stage3-attack/k1-gevm-sweep/evidence.md,clang18-sym,KERNEL-SYM-PASS-repack-GEVM-leaf-byte-exact-1.306x-WIN-vs-real-native-vec-opp(VLEN256-wide-amortize)*DEPLOYED-block-dot-0.396-FAIL(selector-declines-repack-via-BLANKET-q4_0-key-mis-fire)*条件翻正-pending-per-format-selector-key,in-denom;PASS-CONDITIONAL@0.8-kernel-sym(repack-leaf-1.306x-byte-exact-emitter-capable*deployment-pending-per-format-selector-fix*deployed-default-block-dot-0.396-FAIL·成色-kernel-account-not-yet-deployed)
vec_dot|q8_0|typed-flat|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot63/rvv6/mac2;lightest,hot=0.979,m8cold=0.985,coldm1=0.984,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,naive,ratio_vs_opp=0.984,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.984,light-vec,ggml_vec_dot_q8_0_q8_0,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,parity-by-adoption(tautological),in-denom;PASS@0.8
vec_dot|q2_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot167/rvv85/mac22/gather8;vl256-spec-STRONG,hot=0.677,m8cold=0.680,coldm1=0.684,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,factory,ratio_vs_opp=0.684,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.684,hand-tuned,ggml_vec_dot_q2_K_q8_K_vl256,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L33-PASS-1.36-vs-real-16x1-hand-brick*strip-outer-摊销-NA-at-nr=1)*opp-vl256-handtuned[GAP-KQUANT-VECDOT-VS-NATIVE-RVV]*真beat归GEMM轴,in-denom;FAIL@0.8-NAMED-X-EXIT-C
vec_dot|q3_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot264/rvv96/mac32;vl256-spec-STRONG,hot=0.533,m8cold=0.535,coldm1=0.522,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,factory,ratio_vs_opp=0.522,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.522,hand-tuned,ggml_vec_dot_q3_K_q8_K_vl256,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L34-PASS-2.92-vs-blockdot*strip-outer-NA-nr=1)*opp-vl256-handtuned*真beat归GEMM轴,in-denom;FAIL@0.8-NAMED-X-EXIT-C
vec_dot|q4_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot211/rvv54/mac18;vl256-spec-STRONG-blockdot,hot=0.579,m8cold=0.583,coldm1=0.592,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,factory,ratio_vs_opp=0.592,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.592,hand-tuned,ggml_vec_dot_q4_K_q8_K_vl256,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L35-PASS-1.187-Win-K1-VLEN-byte-verified-vs-real-16x1-hand-brick)*opp-vl256-handtuned*真beat归GEMM轴,in-denom;FAIL@0.8-NAMED-X-EXIT-C
vec_dot|q5_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot238/rvv82/mac26/vset15;NO-vl-spec-唯一未手调-boundary,hot=1.033,m8cold=1.032,coldm1=1.065,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,factory,ratio_vs_opp=1.065,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,1.065,native-vec-heavy,ggml_vec_dot_q5_K_q8_K,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,opp-immaturity(q5_K-no-vl256-spec)DISCLOSE-non-tautological,in-denom;PASS@0.8
vec_dot|q6_K|typed-super-block|arity2|micro-fixed,g8s3-opp-reparse,mechanism,opp-reparse-symbol-level,g8-stage3-opponent-reparse,n_a(opp-reparse-no-AB),vlen=256,tot189/rvv103/mac32;vl256-spec-STRONG,hot=0.540,m8cold=0.545,coldm1=0.549,n_a,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,factory,ratio_vs_opp=0.549,pending-§6,pending-§6,n_a,n_a,n_a,n_a,n_a,n_a,opp-reparse-clang18-sym,k1-SpacemiTX60-VLEN256-clang18.1.8-Bianbu-core0_3,2026-07-14-g8-stage3-opp-reparse,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,ggml=e36a602(vericurve)+stock-1x16.so,matmul-kernel-sym,0.549,hand-tuned,ggml_vec_dot_q6_K_q8_K_vl256,g8-stage3-opponent-reparse/k1/objdump_metrics_k1.txt,clang18-sym,NAMED-X*M=1-weight-recon-amortization-floor(GEMM-L37-PASS-1.77-vs-blockdot*strip-outer-NA-nr=1)*opp-vl256-handtuned*真beat归GEMM轴,in-denom;FAIL@0.8-NAMED-X-EXIT-C
