op,format,engine,regime,group,rvv_tier,rvv_disp,rvv_cold,rvv_opp_sym,rvv_note,k1_tier,k1_disp,k1_cold,k1_opp_sym,k1_note
vec_dot,q4_0,,,matmul,通用向量,PASS,0.938,ggml_vec_dot_q4_0_q8_0,light-vec block-dot 弱,通用向量,PASS,0.986,ggml_vec_dot_q4_0_q8_0,light-vec 弱
vec_dot,q4_1,,,matmul,通用向量,PASS,1.027,ggml_vec_dot_q4_1_q8_1,light-vec block-dot 弱,通用向量,PASS,1.008,ggml_vec_dot_q4_1_q8_1,light-vec 弱
vec_dot,q5_0,,,matmul,通用向量,PASS,0.451,ggml_vec_dot_q5_0_q8_0,native-vec 中·qh5bit VLEN-adaptive,通用向量,PASS,0.384,ggml_vec_dot_q5_0_q8_0,light-vec 弱·板异塌轻
vec_dot,q5_1,,,matmul,通用向量,PASS,0.446,ggml_vec_dot_q5_1_q8_1,native-vec 中·qh5bit,通用向量,PASS,0.398,ggml_vec_dot_q5_1_q8_1,light-vec 弱·板异
vec_dot,q8_0,,,matmul,通用向量,PASS,0.965,ggml_vec_dot_q8_0_q8_0,light-vec 弱·上游VLEN128破损,通用向量,PASS,0.984,ggml_vec_dot_q8_0_q8_0,light-vec 弱
vec_dot,q1_0,,,matmul,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母,域外,域外-永久(q1_0),,(Weft-internal),q1_0 internal-A/B·永久域外·非分母
vec_dot,q2_K,,,matmul,手调,具名-X,0.342,ggml_vec_dot_q2_K_q8_K_vl128,SpacemiT vl128 full-unroll STRONG,手调,具名-X,0.684,ggml_vec_dot_q2_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q3_K,,,matmul,手调,具名-X,0.258,ggml_vec_dot_q3_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.522,ggml_vec_dot_q3_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q4_K,,,matmul,手调,具名-X,0.189,ggml_vec_dot_q4_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.592,ggml_vec_dot_q4_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,q5_K,,,matmul,通用向量,PASS,0.843,ggml_vec_dot_q5_K_q8_K,native-vec 中·NO vl-spec 唯一未手调,通用向量,PASS,1.065,ggml_vec_dot_q5_K_q8_K,native-vec-heavy·NO vl-spec 唯一未手调
vec_dot,q6_K,,,matmul,手调,具名-X,0.18,ggml_vec_dot_q6_K_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.549,ggml_vec_dot_q6_K_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq1_s,,,matmul,手调,具名-X,0.365,ggml_vec_dot_iq1_s_q8_K_vl128,SpacemiT vl128 grid-gather STRONG,手调,具名-X,0.361,ggml_vec_dot_iq1_s_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq1_m,,,matmul,手调,具名-X,0.152,ggml_vec_dot_iq1_m_q8_K_vl128,SpacemiT vl128 STRONG,手调,具名-X,0.25,ggml_vec_dot_iq1_m_q8_K_vl256,SpacemiT vl256 STRONG
vec_dot,iq2_xxs,,,matmul,手调,pending-fold,,ggml_vec_dot_iq2_xxs_q8_K_vl128.isra.0,objdump rvv:121/vec36/mac6/gather4·vl128手写gather→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:333/vec122/mac24/gather16→手调〔清偿〕
vec_dot,iq2_xs,,,matmul,手调,pending-fold,,ggml_vec_dot_iq2_xs_q8_K_vl128.isra.0,objdump rvv:226/vec73/mac24/gather8·heavy→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:216/vec53/mac20→手调〔清偿〕
vec_dot,iq2_s,,,matmul,手调,pending-fold,,ggml_vec_dot_iq2_s_q8_K_vl128.isra.0,objdump rvv:102/vec27/mac3/gather2→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:344/vec105/mac20/gather12→手调〔清偿〕
vec_dot,iq3_xxs,,,matmul,手调,pending-fold,,ggml_vec_dot_iq3_xxs_q8_K_vl128.isra.0,objdump rvv:129/vec26/mac5/gather3→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:314/vec71/mac20/gather12→手调〔清偿〕
vec_dot,iq3_s,,,matmul,手调,pending-fold,,ggml_vec_dot_iq3_s_q8_K_vl128.isra.0,objdump rvv:102/vec26/mac2→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:232/vec84/mac12/gather8→手调〔清偿〕
vec_dot,iq4_nl,,,matmul,手调,PASS,1.15,ggml_vec_dot_iq4_nl_q8_0_vl128,hand-vl128 codebook-gather LIGHT〔V·手调〕,手调,具名-X,0.697,ggml_vec_dot_iq4_nl_q8_0_vl256,hand-vl256 codebook-gather LIGHT〔V-纠·板一致·chip-tuned〕
vec_dot,iq4_xs,,,matmul,手调,pending-fold,,ggml_vec_dot_iq4_xs_q8_K_vl128.isra.0,objdump rvv:84/vec16/mac3·LIGHT→手调〔清偿〕,手调,pending-fold,,..._vl256,objdump k1:144/vec18/mac5→手调〔清偿〕
vec_dot,mxfp4,,,matmul,手调,pending-fold,,ggml_vec_dot_mxfp4_q8_0_vl128,objdump rvv:118/vec18/mac4/gather2·hand-vl128 LIGHT→手调〔清偿〕,手调,pending-fold,,ggml_vec_dot_mxfp4_q8_0_vl256,objdump k1:96/vec24/mac6/gather4→手调〔清偿·k1原UNRESOLVED已清〕
