op,format,engine,regime,board,group,result_lane,e2e_evidence,measurement_state,disposition,cold,opponent_tier,opponent_symbol,correctness,run_id,freshness,tn_qualification,master_qualified,selection_valid,evidence_lane,source,citation_status
vec_dot,q4_0,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.938,通用向量,ggml_vec_dot_q4_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_0 engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q4_0,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,0.986,通用向量,ggml_vec_dot_q4_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_0 engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q4_1,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,1.027,通用向量,ggml_vec_dot_q4_1_q8_1,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_1 engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q4_1,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,1.008,通用向量,ggml_vec_dot_q4_1_q8_1,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_1 engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q5_0,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.451,通用向量,ggml_vec_dot_q5_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_0 engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q5_0,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,0.384,通用向量,ggml_vec_dot_q5_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_0 engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q5_1,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.446,通用向量,ggml_vec_dot_q5_1_q8_1,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_1 engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q5_1,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,0.398,通用向量,ggml_vec_dot_q5_1_q8_1,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_1 engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q8_0,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.965,通用向量,ggml_vec_dot_q8_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q8_0 engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q8_0,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,0.984,通用向量,ggml_vec_dot_q8_0_q8_0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q8_0 engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q1_0,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,open,域外-永久(q1_0),,域外,(Weft-internal),unresolved,,unresolved,unqualified,false,false,none,,open
vec_dot,q1_0,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,open,域外-永久(q1_0),,域外,(Weft-internal),unresolved,,unresolved,unqualified,false,false,none,,open
vec_dot,q2_K,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.342,手调,ggml_vec_dot_q2_K_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q2_K engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q2_K,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.684,手调,ggml_vec_dot_q2_K_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q2_K engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q3_K,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.258,手调,ggml_vec_dot_q3_K_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q3_K engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q3_K,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.522,手调,ggml_vec_dot_q3_K_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q3_K engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q4_K,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.189,手调,ggml_vec_dot_q4_K_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_K engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q4_K,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.592,手调,ggml_vec_dot_q4_K_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q4_K engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q5_K,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.843,通用向量,ggml_vec_dot_q5_K_q8_K,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_K engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q5_K,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,1.065,通用向量,ggml_vec_dot_q5_K_q8_K,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q5_K engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,q6_K,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.18,手调,ggml_vec_dot_q6_K_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q6_K engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,q6_K,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.549,手调,ggml_vec_dot_q6_K_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=q6_K engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq1_s,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.365,手调,ggml_vec_dot_iq1_s_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq1_s engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq1_s,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.361,手调,ggml_vec_dot_iq1_s_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq1_s engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq1_m,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.152,手调,ggml_vec_dot_iq1_m_q8_K_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq1_m engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq1_m,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.25,手调,ggml_vec_dot_iq1_m_q8_K_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq1_m engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq2_xxs,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,0.84,手调,ggml_vec_dot_iq2_xxs_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_xxs engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq2_xxs,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.612,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_xxs engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq2_xs,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.617,手调,ggml_vec_dot_iq2_xs_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_xs engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq2_xs,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.474,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_xs engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq2_s,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,1.92,手调,ggml_vec_dot_iq2_s_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_s engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq2_s,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.562,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq2_s engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq3_xxs,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.156,手调,ggml_vec_dot_iq3_xxs_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq3_xxs engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq3_xxs,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.192,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq3_xxs engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq3_s,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,具名-X,0.213,手调,ggml_vec_dot_iq3_s_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq3_s engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq3_s,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.2,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq3_s engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq4_nl,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,1.15,手调,ggml_vec_dot_iq4_nl_q8_0_vl128,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq4_nl engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq4_nl,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,具名-X,0.697,手调,ggml_vec_dot_iq4_nl_q8_0_vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq4_nl engine=rvv regime=micro-fixed board=k1,legacy-unlinked
vec_dot,iq4_xs,rvv,micro-fixed,rvv,matmul,T3-kernel-cell,false,measured,PASS,1.31,手调,ggml_vec_dot_iq4_xs_q8_K_vl128.isra.0,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq4_xs engine=rvv regime=micro-fixed board=rvv,legacy-unlinked
vec_dot,iq4_xs,rvv,micro-fixed,k1,matmul,T3-kernel-cell,false,measured,PASS,1.196,手调,..._vl256,pending,,unresolved,unqualified,false,false,legacy-t3,T3_master_rebuild.csv op=vec_dot format=iq4_xs engine=rvv regime=micro-fixed board=k1,legacy-unlinked
