board,benchmark_class,run1_median,run2_median,IQR_pct,bootstrap_ci,board_fp,snapshot,status
k1,q8_0-vecdot-micro-fixed/ours-m1,3688.7ns,3689.1ns,0.009,between-run(min-of-7-near-deterministic;pinned-core4;freq-locked-1.6GHz-0%span),0ccffb5f9130967a,fc1dd132,stale
k1,q8_0-vecdot-micro-fixed/factory,3702.9ns,3702.4ns,0.012,between-run(min-of-7;pinned-core4;freq-locked-1.6GHz),0ccffb5f9130967a,fc1dd132,stale
rvv,q8_0-vecdot-micro-fixed/ours-m2,3440.8ns,3441.1ns,0.007,between-run(min-of-7;pinned-core8;freq-locked-2.6GHz-0%span),7040412c20700942,fc1dd132,stale
rvv,q8_0-vecdot-micro-fixed/factory,3506.0ns,3506.2ns,0.006,between-run(min-of-7;pinned-core8;freq-locked-2.6GHz),7040412c20700942,fc1dd132,stale
# NOTE: floor is between-run repeat-repeat (pass1 vs pass2 median), same min-of-7 statistic as the T3 A/B ratio (self-consistent gate). Floor is <0.02% because min-of-7 on a pinned freq-locked core is near-deterministic -> per experiment-constitution the 2x-floor gate is technically passed by even the +0.4%/+1.9% T3 deltas, but those deltas are economically PARITY (<2%); the tight floor is a min-statistic precision artifact, NOT evidence of a meaningful perf difference.
# [STALE — 2026-07-05, P2c 证伪后置顶] status measured -> stale. 本表 4 行绝对 ns 锚定
# step-3 的 fc1dd132 构建(双板 march 均无 zfh -> 双方 fp16 走 __extendhfsf2 libcall),
# 与 T3_A/T3_B 同一 contaminated 指纹;方法学(repeat-repeat 方差地板)本身有效,但绝对
# ns / 据此判定的 T3 parity 幅度不可引用。须按新工具链政策(clang-20 + 板全能力 march;
# 实验总纲v1 §1 第9/10条)随 T3 重测(Phase 1)。原数据行保留不删。
