seq,family_spectrum,decode_model,frontdoor_flip_commit,gross_insert_LOC(lib+include),gross_delete_LOC(lib+include),net_LOC,reusable_framework_LOC(paid-once),family_specific_LOC,of_which_copy_adapt_template_LOC,retirement_offset_LOC(retired-direct-emit-bypass),delta_C_construct,cost_tier,marginal_position,labor_proxy_passes,recompute_ref,snapshot
0,ternary(2-bit trit repack),tq2_0,7a4250c5,948,717,+231,~60,~888,~400,-717,33->34,HIGH (first front-door multi-family generalization),base-expensive (framework built once; first frontdoor-framework point),2 (emission-only rejected by adversarial-verify -> construction added; see result-tables T8 口径 verify-interception note),git show 7a4250c5 --numstat -- lib/ include/ (gross); component split = NOTES.md; framework hunks = GgmlQuantContractionOp::verify family-dispatch + TypedRepackGemv/GemmLoopBodyOp::verify isTernaryFold + lowerOne scale_model dispatch/fail-closed,HEAD=b2fa5b61
1,ternary(base-3 trit repack),tq1_0,0b907d0c,412,1605,-1193,~0 (reuses tq2_0 framework),~170,~130,-1605,34->35,LOW (framework re-pay 0; base-3 decode-leaf specific),cheap-reuse (second ternary family; base-3 two-plane qs+qh delta + qh OptionalAttr only),1,git show 0b907d0c --numstat -- lib/ include/ (gross); family-specific = TernaryDecodeFacts struct + emitRepackTernaryGem{v/m}BodyTQ10 base-3 leaf + weight_qh_byte_offset attr,HEAD=7a4250c5
2,K-quant(super-block dual-scale+bsums-min repack),q4_K,pending-user-commit,1065,854,+211,~30 (contraction verifier q4_K family bool + loop-body fold gating touch; core framework paid at tq2_0),~700,~600,-707 (monolith ops+verifiers DELETED but emitter bodies RELOCATED in place not deleted -> positive net despite retirement),35->36,LOW (framework re-pay ~0; K-quant-specific decode leaf only),cheap-reuse (THIRD decode family {q4_0 ternary K-quant}; NEW fold_model kquant_dmin_bsums_min RE-EMITTED whole/emitter-inlined not a separate fold brick -> honest scope: the min+bsums fold structure fit the leaf not a new brick),1,git diff --numstat -- lib/ include/ (gross); family-specific = KQuantDecodeFacts + lowerToRepackGem{v/m}KQuant (~386) + RepackGem{v/m}KQuantCoreOp ops+verifiers (~330) + loop-body fold gating + K-quant branch dispatch; body leaves emitRepackKQuantGem{v/m}BodyQ4K = MOVED not new,HEAD=0b907d0c
3,K-quant(super-block 6-bit two-plane no-min single-accumulator repack),q6_K,pending-user-commit,550,880,-330,~15 (facts.hasMin/foldModel/weightQh fields + loop-body verifier no-min gating restructure; core K-quant framework paid at q4_K),~500,~400,-626 (monolith ops ~211 + verifiers ~387 + recognizers ~28 DELETED; emitter bodies RELOCATED in place not deleted),36->37,LOW (framework re-pay ~0; no-min decode leaf + first S6-tiled construction),cheap-reuse (SECOND K-quant super-block; NO new ops -- REUSES RepackGem{v/m}KQuantCoreOp by decode_model; framework generalized to NO-MIN fold via facts.hasMin/foldModel; NEW fold_model kquant_single_scale_no_min RE-EMITTED whole; GEMM S6-tiled at construction = decoded signed-scale stack-panel + on-demand d + NO inline-min-fold + SSA-register accs),1,git diff --numstat -- lib/ include/ (gross); family-specific = kQ6KDecodeFacts + lowerToRepackGem{v/m}KQuant no-min conditional + emitRepackKQuantGem{v/m}BodyQ6K (MOVED from direct emitter + GEMM S6 scale-panel/on-demand-d) + K-quant no-min branch dispatch (~140) + verifier no-min gating + abstract q6_K plain-fact branch stride 210; NO new ops,HEAD=ca0673a6
4,K-quant(super-block 2-bit dual-scale+bsums-min repack),q2_K,pending-user-commit,542,1005,-463,~0 (reuses q4_K min fold; ZERO framework re-pay -- q2_K shares kquant_dmin_bsums_min via SAME KQuantDecodeFacts),~500,~430,-669 (monolith ops ~221 + verifiers ~420 + recognizers ~28 DELETED; emitter bodies RELOCATED in place not deleted),37->38,LOW (framework re-pay ~0; q2_K decode leaf + S6 tiling only; = 40.9% past M2 40% gate),cheap-reuse (FOURTH K-quant decode-family member / SECOND min-fold after q4_K; SHARES q4_K fold_model kquant_dmin_bsums_min WHOLE via SAME KQuantDecodeFacts -- only kQ2KDecodeFacts block offsets + the 2-bit weight peel / 4-bit packed scale-min / 16-sub-block single-bsum decode leaf are net-new; ★S6 tiling HOLDS = q4_K register-cliff lever transferred WHOLE unlike q6_K weight-bound NULL),1,git diff --numstat -- lib/ include/ (gross); family-specific = kQ2KDecodeFacts + lowerToRepackGem{v/m}KQuant q2_K dispatch (~10) + emitRepackKQuantGem{v/m}BodyQ2K (GEVM MOVED from direct emitter; GEMM MOVED + S6-tiled from q4_K template) + emitTypedRepackGem{v/m}LoopBody K-quant decode_model dispatch + GgmlQuantContractionOp::verify q2_K plain-fact branch (stride 84 qs@16) + verifyRepackKQuantCoreCommon q2_K; NO new ops; NO loop-body verifier change (reuses q4_K kquant_dmin_bsums_min fold),HEAD=c3cf7301
5,K-quant(super-block 3-bit subtractive-hmask no-min single-accumulator repack),q3_K,pending-user-commit,326,816,-490,~0 (reuses q6_K no-min fold; ZERO framework re-pay -- q3_K shares kquant_single_scale_no_min via SAME KQuantDecodeFacts hasMin=false),~470,~400,-612 (monolith ops ~214 + verifiers ~392 + recognizers ~28 DELETED; emitter bodies RELOCATED in place not deleted -> net negative),38->39,LOW (framework re-pay ~0; q3_K decode leaf only; S6 tiling NULL like q6_K -> GEMM ships PLAIN),cheap-reuse (FIFTH K-quant decode-family member / SECOND no-min after q6_K / LAST K-quant repack sibling; SHARES q6_K fold_model kquant_single_scale_no_min WHOLE via SAME KQuantDecodeFacts -- only kQ3KDecodeFacts block offsets + the 3-bit subtractive-hmask decode leaf are net-new; ★S6 tiling NULL = weight-reconstruction-bound like q6_K, the q4_K register-cliff lever does NOT transfer -> GEMM ships PLAIN/UNTILED per 更简单者胜),1,git diff --numstat -- lib/ include/ (gross); family-specific = kQ3KDecodeFacts + lowerToRepackGem{v/m}KQuant q3_K dispatch (~4) + emitRepackKQuantGem{v/m}BodyQ3K (GEVM+GEMM MOVED from direct emitter; PLAIN not tiled) + emitTypedRepackGem{v/m}LoopBody K-quant no-min decode_model dispatch + GgmlQuantContractionOp::verify q3_K plain-fact branch (stride 110 hmask@0) + verifyRepackKQuantCoreCommon q3_K; NO new ops; NO loop-body verifier change (reuses q6_K kquant_single_scale_no_min no-min fold gating),HEAD=1b367c1f
6,K-quant(super-block 5-bit nibble+qh dual-scale+bsums-min repack),q5_K,pending-user-commit,645,1025,-380,~8 (reuses q4_K min fold; ZERO framework re-pay -- q5_K shares kquant_dmin_bsums_min via SAME KQuantDecodeFacts hasMin=true; only the loop-body verifier qh-gate widen + the attr-stamping hasMin/qh split are framework touch),~700,~620,-660 (monolith ops ~219 + verifiers ~418 + recognizers ~28 DELETED; GEVM body RELOCATED in place / GEMM body REPLACED by the q4_K S6-tiled template + the qh inject -> net negative),39->40,LOW (framework re-pay ~0; q5_K decode leaf [qh inject] only; S6 tiling HOLDS),cheap-reuse (FIFTH K-quant decode-family member / THIRD min-fold after q4_K+q2_K / LAST K-quant repack sibling -- COMPLETES the K-quant repack family; SHARES q4_K fold_model kquant_dmin_bsums_min WHOLE via SAME KQuantDecodeFacts -- only kQ5KDecodeFacts block offsets [ADD a qh plane @256] + the qh 5th-bit decode leaf are net-new; ★S6 tiling HOLDS = the q4_K register-cliff lever transfers WHOLE like q2_K [XFER-1 verify #2] -> GEMM ships S6-TILED),1,git diff --numstat -- lib/ include/ (gross); family-specific = kQ5KDecodeFacts + lowerToRepackGem{v/m}KQuant q5_K dispatch (~5) + emitRepackKQuantGem{v/m}BodyQ5K (GEVM MOVED from direct emitter; GEMM = q4_K S6-tiled body template + the qh inject) + emitTypedRepackGem{v/m}LoopBody K-quant MIN decode_model dispatch + GgmlQuantContractionOp::verify q5_K plain-fact branch (stride 176 qs@48) + verifyRepackKQuantCoreCommon q5_K + loop-body verifier qh-on-min-fold gate widen + attr-stamping hasMin/qh split; NO new ops,HEAD=54d3741c
7,codebook(flat non-linear 16-entry codebook repack),iq4_nl,pending-user-commit,957,669,+288,~50 (new codebook core op family + verifyRepackCodebookCoreCommon + codebook fold gating in loop-body verifiers + contraction family branch; loop-op/dispatch skeleton reused from q4_0/K-quant),~750,~620,-669 (monolith ops+verifiers+recognizers DELETED; emitter bodies RELOCATED in place not deleted -> positive net despite retirement),40->41,MODERATE (FOURTH decode family = NEW codebook core op family + NEW fold; but loop-op/dispatch skeleton reused -> re-pay small),new-family-small (FOURTH decode family {q4_0 ternary K-quant codebook}; NEW core op family RepackGem{v/m}CodebookCoreOp + NEW fold_model codebook_flat_single_scale; codebook RECONSTRUCTED from-abstract [kvalues_iq4nl] -- a true CONSTRUCT-from-abstract the abstract request omits; GEMM ships PLAIN -- iq4_nl at <=32-vreg cliff so S6 structural no-op),1,git diff --numstat -- lib/ include/ (gross); family-specific = CodebookDecodeFacts + kvalues_iq4nl + lowerToRepackGem{v/m}Codebook + RepackGem{v/m}CodebookCoreOp ops+verifiers (verifyRepackCodebookCoreCommon) + codebook fold gating in loop-body verifiers + codebook branch dispatch + GgmlQuantContractionOp::verify iq4_nl plain-fact branch (stride 18 nibbles@2 highhalf@16); body leaves emitRepackCodebookGem{v/m}BodyIq4Nl = MOVED from direct emitter not new,HEAD=81a8050b
8,dequantize_row(streaming block-decode; block_qX -> f32 row),q8_0,pending-user-commit,655,33,+622,~525,~130,~130,0 (dequant NOT in emit-bypass-whitelist -- that ratchet is repack gemm_tile-only; the q8_0 monolith is KEPT as the defensive fallback that calls the SAME shared body -- no tracked bypass retired; only the inner bareInt8 block MOVED into emitDequantizeRowQ8_0BodyShared),42->43,HIGH (NEW dequantize_row STREAMING spectrum -- the SECOND front-door SPECTRUM after the RepackGem contraction seq 0-7; base-expensive framework built once for the whole 23-format family),base-expensive (dequant streaming front-door framework built once = FIRST dequantize_row spectrum point; ALL streaming CONSTRUCTION-ONLY [no reduction/no accumulator; no tiling decision; no S6/[XFER-1]]; subsequent formats ~decode-leaf-only re-pay = a new emitDequantizeRow<fmt>BodyShared + 1 allowlist line + a construct-facts branch),1,git diff --numstat SCOPED to the 5 dequant touch-set files (RVVOps.td + RVVDialectWideningOps.cpp + RVVToEmitCForwardElementwise.cpp + RVVToEmitC.cpp + RVVToEmitCInternal.h; the working tree ALSO carries DISJOINT line-C changes to RVVLowerQuantContraction.cpp/RVVToEmitCBlockQuantLinear.cpp/RVVRepackTilingSelection.h -- EXCLUDED from this count); reusable framework hunks = TypedDequantizeRowLoopBodyOp/DequantizeRowDecodeCoreOp/TypedDequantizeRowLoopYieldOp ODS+verifiers + isConstructedDequantizeRowDecodeModel + constructOrEmitGgmlDequantizeRow front-door + emitTypedDequantizeRowLoopBody typed-region walker + isTypedDequantizeRowLoopBody dispatch/kBlockDotKernels; family-specific = emitDequantizeRowQ8_0BodyShared (q8_0 decode leaf; copy-adapt VERBATIM from the in-place monolith bareInt8 branch -- BEFORE/AFTER emit byte-identical modulo provenance token),HEAD=530c0995
9,dequantize_row(flat 4-bit nibble streaming block-decode; block_qX -> f32 row),q4_0,pending-user-commit,120,40,+80,~85 (nibble-CLASS re-pay reused by q4_1/q5_0/q5_1: the constructOrEmit per-format facts-branch generalization + emitTypedDequantizeRowLoopBody decode_model dispatch widen + the SHARED nibble body shell; the flat streaming FRONT-DOOR framework itself was paid ONCE at the q8_0 family-head seq 8),~35,"~35 (RELOCATED VERBATIM: the whole nibble decode body was MOVED from the emitGgmlDequantizeRow monolith tail into emitDequantizeRowNibbleBodyShared -- net-new LOC ~0, only the signature+qk-const+call-site are new)",0 (dequant NOT in emit-bypass-whitelist; the monolith is KEPT as the defensive fallback that calls the SAME shared nibble body -- no tracked bypass retired; the nibble tail MOVED into emitDequantizeRowNibbleBodyShared),43->44,LOW (nibble-class framework re-pay small; the nibble decode body already EXISTED in the monolith -> RELOCATED not authored; first flat-nibble leaf),cheap-reuse (FIRST flat-nibble dequant leaf; the dequantize_row streaming FRONT-DOOR framework built once at q8_0 seq 8 is reused WHOLE -- only the nibble-class routing generalization + the fully-parameterized shared nibble body are net-new; the 4 nibble formats differ ONLY in 8 ggml-ABI fact values),1,git diff --numstat SCOPED to the 4 dequant touch-set lib+include files (RVVToEmitCForwardElementwise.cpp 132/29 + RVVToEmitCInternal.h 43/0 + RVVDialectWideningOps.cpp 16/11 + RVVOps.td 13/9 = 204/49 gross for the WHOLE q4_0..q5_1 batch; the working tree line-C changes are in DISJOINT files RVVLowerQuantContraction.cpp/RVVToEmitCBlockQuantLinear.cpp/RVVRepackTilingSelection.h -- EXCLUDED); reusable = emitDequantizeRowNibbleBodyShared shell + constructOrEmit facts-branch + emitTypedDequantizeRowLoopBody dispatch; family-specific = emitDequantizeRowQ4_0BodyShared facts-wrapper leaf,HEAD=3fbe65f1
